website;Offline Capabilities;Push Notifications;Add to Home Screen;Background Sync;Navigation Preload;Storage Estimation;Persistent Storage;Web Share;Media Session;Media Capabilities;Device Memory;Getting Installed Related Apps;Payment Request;Credential Management;Background Tasks;Background Fetch
footshop.eu;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tvsamara.ru;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
pacogames.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
bhuntr.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
laserlyte.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
etudes-litteraires.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
mybroadband.co.za;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
propertyturkey.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
getmesa.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
khabarvarzeshi.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
clarins.co.uk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vietteltelecom.vn;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
solar-kart.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
barrietoday.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
store41388150.company.site;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
onebillsoftware.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
boredpanda.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
palettable.io;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
tipyan.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ebookjapan.jp;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
bcci.tv;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
rxresu.me;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
laitharar.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
notrefamille.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
punktmedyczny24.pl;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
yad.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
englishninjas.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
brooksbrothers.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
conicle.com;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
diamondcbd.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
wish.com;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4shared.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
brandjoy.jp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
qoo10.sg;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
makaan.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
e-ticaret.top;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
yourbestdigs.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
lexus.ca;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
uatt.com.br;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prenoms.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
emojio.ru;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
galichu.com;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
atelieraphelion.com;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
