;website;domComplexity;cssComplexity;badJavascript;pageWeight;requests
143;fitnessvolt.com;70;4;99;100;90
144;dijilopedi.com;62;-25;-255;100;54
145;usobit.com;75;96;-126;100;60
146;pingo.com;92;73;100;100;94
147;azeta.lv;-14;-13;98;100;37
148;kamiennewnetrza.pl;100;44;-102;100;69
149;moro.com;97;74;100;100;91
150;fiduciaire-topsana.ch;90;2;85;100;98
151;mail-order-bride.com;47;82;97;100;97
152;melhorcomsaude.com.br;97;91;97;100;69
153;localprofile.com;83;97;64;100;91
154;biareview.com;100;87;100;100;100
155;from-ua.com;75;88;64;100;96
156;insidejapantours.com;14;99;94;100;63
157;tv-programme.com;77;67;100;100;59
158;candidegardening.com;100;100;99;100;66
159;minecrafttr.com;20;6;86;100;70
160;reklam.com.tr;95;57;100;100;95
161;uenp.edu.br;97;18;100;100;85
162;booksy.com;90;99;99;100;80
163;minecraft.jp;100;68;100;100;100
164;kalender.digital;93;55;99;100;100
165;centralfloridaweddinggroup.com;80;100;100;100;100
166;bakti.id;82;97;100;100;88
167;hapi.dev;98;75;100;100;88
168;confaelshop.ru;40;46;74;100;43
169;bzns.media;96;91;87;100;88
170;marketsverge.com;82;100;100;100;100
171;techjaja.com;47;-52;59;100;74
172;mortgagecalculatorwithpmi.com;99;70;63;100;85
173;diaryofatorontogirl.com;98;84;100;100;84
174;pscp.download;85;61;73;100;89
175;filmlondon.org.uk;92;100;89;88;98
176;kadivar.com;57;-48;86;100;88
177;krasnoyarskmedia.ru;87;17;63;100;68
178;hipertextual.com;73;95;76;100;79
179;estrid.com;91;37;99;100;79
180;everydayeyecandy.com;98;78;100;100;94
181;bytuong.com;88;59;63;100;77
182;telegramm.site;100;50;94;100;100
183;500cosmetics.com;51;100;82;100;67
184;poponik.com;30;24;98;100;57
185;bestasianbrides.com;100;82;100;100;83
186;elfnon.com;97;61;76;100;100
187;hulizb.net;100;87;100;100;73
188;dokidoki.finance;98;1;100;100;100
189;dailyfilm.ir;100;100;99;100;97
190;paranormalx.com;88;83;100;100;100
191;amurmedia.ru;90;17;63;100;61
192;kinohod.ru;73;68;100;100;83
193;bullocksbuzz.com;98;84;100;100;91
194;thebrooklynmarketplace.com;79;55;86;100;53
195;mobilmo.com;94;90;63;100;71
196;teplokarta.ru;95;19;86;100;73
197;master-chinese.ru;93;27;98;100;75
198;ledpremium.ru;-105;-5;83;100;73
199;homedecoratione.com;96;93;75;100;93
200;flightio.com;90;-16;100;100;94
201;elazigonline.com;95;60;98;100;79
202;theinitium.com;100;100;100;100;100
203;drillster.com;32;65;97;100;76
204;vkfaces.com;98;93;99;100;75
205;abomus.co.il;100;99;100;100;93
206;fanmusicfest.com;43;41;3;100;58
207;irembo.gov.rw;90;84;97;100;100
208;findforeignbride.com;88;88;97;100;83
209;kazashki.com;100;100;88;100;99
210;yoast.com;98;77;99;100;90
211;rutadirecta.com;97;-40;48;100;76
212;leekduck.com;100;92;99;100;100
213;thothub.live;100;14;85;100;75
214;kt-life.net;94;53;98;100;71
215;insidethestar.com;95;14;86;100;72
216;ht-exchange.com;100;93;88;100;100
217;poryadok.ru;97;74;99;100;84
218;wikirock.net;67;86;59;100;41
219;rosewife.com;100;68;100;100;99
220;mintishop.pl;36;-28;94;100;32
221;taxbit.com;98;64;88;100;73
222;buybettersocial.com;100;44;88;100;99
223;astromix.net;95;51;86;100;70
224;vsim.ua;39;5;98;100;68
225;decortips.com;95;100;97;100;77
226;hookupguru.com;92;70;88;100;85
227;komfort.pl;-76;32;87;100;76
228;techjourney.net;94;-25;61;100;79
229;retipster.com;-315;98;100;100;95
230;tuliptime.com;100;97;100;100;87
231;medjournalusa.com;98;100;100;100;100
232;indiacircus.com;73;15;98;100;49
233;telebasel.ch;61;77;75;100;65
234;awwrated.com;89;-22;96;100;77
235;aty800.com;100;80;100;100;100
236;mlk50.com;61;96;100;100;93
237;eyesitela.com;70;99;99;100;94
238;harperstephenson.co.uk;67;100;22;97;100
239;itechua.com;91;-28;72;100;90
240;kimlulashnyk.com;97;100;100;100;100
241;fachowisko.pl;69;-8;99;100;100
242;estadios24.pl;90;82;86;100;4
243;marketi.com.br;97;-43;96;100;97
244;vimeo-downloader.com;100;92;99;100;100
245;modiresabz.com;92;-113;97;100;72
246;wowlazymacros.com;71;22;99;100;83
247;carolinakidcoders.com;70;99;99;100;99
248;frisbi24.ru;93;92;99;100;99
249;chatvdvoem.ru;75;70;93;100;69
250;restauracionnews.com;83;-150;-290;100;58
251;espaciocoches.com;-20;94;-1000;100;-21
252;public.app;100;100;100;100;100
253;quotescover.com;98;99;100;100;85
254;myswisslife.fr;90;100;88;76;97
255;wsb.edu.pl;72;45;87;100;73
256;kemitt.com;95;-22;84;100;63
257;techexcel.com;85;22;85;100;98
258;300hours.com;97;99;98;100;87
259;topfamilymag.com;95;69;86;100;82
260;themarket.com;91;77;98;100;78
261;micartadigital3.com;100;63;100;100;91
262;phonroid.ir;100;100;89;97;69
263;daisiesandpie.co.uk;90;100;89;99;95
264;hes-extraordinary.com;98;85;100;100;91
265;camillefoxart.com;80;100;100;100;90
266;bccks.jp;-103;87;100;100;100
267;plussizebirth.com;98;98;100;100;88
268;yugenani.me;98;96;-148;100;92
269;beanbox.com;98;92;100;100;80
270;elakiri.com;40;27;100;100;77
271;abwaab.me;95;80;100;100;75
272;tsaooq.com;100;98;100;100;7
273;cliosport.net;93;47;99;100;88
274;personalmoneystore.com;100;69;100;100;94
275;xqchess.com;99;83;74;100;92
276;invisioncommunity.com;100;30;100;100;84
277;aklinizikesfedin.com;97;99;97;100;73
278;populareverything.com;100;100;100;100;100
279;deriv.com;98;96;99;100;83
280;avninga.com;100;100;100;100;89
281;renaultvakilyan.com;90;100;100;23;82
282;farhikhte.com;82;98;99;100;100
283;your-local-plumber.co.uk;83;100;99;100;96
284;xxxdomashka.site;100;84;88;100;97
285;thefarmingforum.co.uk;33;33;-257;100;55
286;kanban.university;92;49;97;100;85
287;usp-forum.de;92;42;99;100;100
288;diygod.me;92;80;100;100;95
289;craftwriter-blog.com;83;50;73;100;88
290;qwerty.dev;98;100;100;100;100
291;kurogami.com;98;100;100;100;87
292;faramoallem.com;81;-9;99;100;80
293;thecloudblog.net;100;100;100;100;91
294;vuejsdevelopers.com;98;19;86;100;84
295;colway.pl;100;49;88;100;80
296;9filmyzilla.site;65;34;99;100;86
297;1kuwaitjobs.com;93;99;73;100;99
298;kellyclarkson.com;100;94;94;100;67
299;doodad.dev;100;100;100;100;100
300;masdemx.com;100;99;100;100;99
301;curriqunet.com;87;100;100;100;91
302;cancoesdemedicina.online;100;47;88;100;100
303;123milhas.com;92;22;99;100;62
304;icilome.com;48;-95;63;100;58
305;waywrite.com;83;78;100;100;89
306;matstore.ir;-34;59;75;100;76
307;koran.nl;76;18;99;100;43
308;premiertefl.com;-4;75;99;100;94
309;destroytoday.com;100;100;100;100;90
310;luv.xxx;89;100;100;100;47
311;2fast4buds.com;100;100;97;100;87
312;locman.com.ua;92;3;85;100;97
313;halfcute.com;81;100;88;100;80
314;divnil.com;100;100;86;100;85
315;themovemarket.com;100;53;99;100;87
316;adobedownloadrussia.com;100;62;86;100;90
317;relefopt.ru;97;61;88;100;96
318;kidubazaar.com;83;100;99;100;100
319;imgflip.com;100;99;99;100;74
320;basslinepromotions.com;98;97;100;100;100
321;dearculturepod.com;90;100;100;100;98
322;patoghonline.com;97;68;87;100;87
323;cowgirlmagazine.com;83;96;100;100;88
324;kabanchik.ua;40;100;89;69;50
325;casinosanalyzer.com;98;66;100;100;100
326;diliroom.fr;100;94;100;100;100
327;myanimelist.net;89;22;99;100;72
328;visittallinn.ee;100;80;100;100;96
329;cheeseandwinecafe.com;70;100;100;100;100
330;prime.md;68;100;73;100;62
331;lamanzanamordida.net;97;53;99;100;92
332;movietvtechgeeks.com;88;49;98;100;100
333;taeknizon.com;93;5;87;100;100
334;magadanmedia.ru;89;17;63;100;62
335;luhta.com;97;99;100;100;98
336;myiptvforum.com;48;34;73;100;82
337;rezat.ru;90;74;98;100;53
338;molily.de;100;100;100;100;100
339;veryimportantlot.com;88;100;80;-26;63
340;amazingradio.com;98;97;97;100;91
341;blivesta.com;100;100;100;100;100
342;trappledestek.com;51;34;88;100;85
343;mahaxpress.com;85;-39;-384;100;73
344;huntworld.ru;42;13;95;100;71
345;polygamia.pl;100;99;99;100;91
346;casino.nl;97;17;88;100;100
347;headtopics.com;66;100;88;100;100
348;hasgeek.com;79;86;-77;100;59
349;aero.com;92;97;100;100;98
350;coiney.com;98;99;98;100;52
351;containerexchanger.com;100;24;100;100;84
352;klv-oboi.ru;33;48;98;100;-29
353;radixweb.com;64;59;100;100;99
354;carap.ir;43;81;100;100;89
355;cq.ru;100;78;99;100;84
356;eatplant-based.com;98;85;100;100;95
357;meteobar.com;94;74;74;100;85
358;fbombpizza.com;80;100;100;100;100
359;flarumtr.com;93;38;100;100;94
360;typefully.app;100;99;100;100;87
361;cowboypoetry.com;92;100;100;100;100
362;dollarsprout.com;100;65;100;100;100
363;richmondantiaging.ca;43;-77;82;100;76
364;alreyadanews.com;87;-72;96;100;48
365;fetvameclisi.com;93;59;100;100;100
366;techtip.ir;100;14;99;100;54
367;veles-capital.ru;33;52;97;100;76
368;flixier.com;98;99;100;100;96
369;brainpowerboy.com;100;78;100;100;94
370;tjournal.ru;73;41;99;100;85
371;best-horror-movies.com;88;100;100;100;100
372;pul.af;90;47;99;100;95
373;virtualo.pl;86;7;83;100;72
374;programacionymas.com;98;100;100;100;87
375;fmforums.com;64;35;100;100;81
376;lithuaniatribune.com;91;80;-61;100;73
377;autolikesig.com;83;-94;82;100;82
378;repost.com;95;44;99;100;84
379;riddimsworld.com;98;51;100;100;100
380;eghtesaad24.ir;82;46;99;100;80
381;bahhador.com;83;-138;87;100;77
382;lockdownbookz.com;80;100;100;100;95
383;mon-entreprise.fr;100;99;100;100;100
384;infoinfocus.com;93;100;100;100;100
385;furf.com;100;100;100;100;100
386;centminmod.com;97;31;100;100;97
387;amanjacademy.com;93;100;89;-3072;54
388;rivegauche.ru;37;100;82;-506;14
389;ludwig.guru;88;100;100;100;100
390;mathtv.com;93;70;99;100;87
391;infogram.com;98;95;99;100;72
392;hoangnhanpro.com;92;48;100;100;100
393;telpharma.com;66;100;64;41;-341
394;draw.chat;100;100;99;100;100
395;lichfieldlive.co.uk;75;96;88;100;90
396;hoiclue.jp;85;38;4;100;56
397;toutiaosg.com;97;98;74;100;92
398;homeindexer.ca;98;29;100;100;96
399;wheelofnames.com;92;36;99;100;89
400;melvingeorge.me;100;100;100;100;100
401;whatsupnewp.com;75;46;64;100;93
402;bigfun.vip;100;60;92;100;99
403;resilientwebdesign.com;100;100;100;100;100
404;friendlylender.ca;100;66;97;100;88
405;kaliboys.com;88;15;100;100;85
406;ufolabs.net;88;4;100;100;93
407;prototurk.com;79;100;74;100;76
408;pwacademy.nl;100;84;99;100;87
409;followjet.com;33;37;85;100;79
410;hufgefluester.eu;-7;23;94;100;78
411;uhrforum.de;97;45;99;100;87
412;commpi.com;100;49;100;100;97
413;w2g.tv;100;100;100;100;100
414;elie.net;100;79;100;100;100
415;maap.cc;94;40;82;100;67
416;ilmainensanakirja.fi;97;94;99;100;80
417;bonnieet.com;100;93;100;100;75
418;lux.fm;98;47;37;100;73
419;artaelectric.ir;60;58;99;100;98
420;huurda.nl;82;98;100;100;100
421;unravelbrainpower.com;99;13;61;100;87
422;vxxx.com;98;100;75;100;94
423;upqode.com;98;68;97;100;100
424;fizz.ca;83;60;87;100;72
425;esgtrade.com;100;68;100;100;87
426;tamotomatik.com;100;67;100;100;45
427;prongmusic.com;78;100;100;100;100
428;man-electro.ru;95;87;60;100;74
429;titsintops.com;97;44;88;100;94
430;rebelwalls.com;89;92;99;100;34
431;vndicy.com;63;-20;60;100;64
432;assistironline.net;74;81;100;100;99
433;vendoo.ge;98;48;99;100;94
434;misadventureswithandi.com;98;76;100;100;87
435;hexed.it;100;98;100;100;100
436;ukrainemailorderbrides.net;95;68;99;100;77
437;hulkshop.com.ua;87;85;100;100;93
438;bluewin.ch;-5;23;86;100;65
439;blacksea.net.ua;98;72;99;100;80
440;playbooklife.com;75;-140;82;100;35
441;districtfm.com;98;31;85;100;80
442;hdzog.com;98;98;88;100;72
443;62info.ru;82;100;87;-271;27
444;freeskins.com;97;19;97;100;26
445;thbfarm.com;78;99;100;100;98
446;usagnews.com;83;14;98;100;98
447;feebee.com.tw;81;70;99;100;-136
448;bitpr0.com;97;88;100;100;100
449;takinmusic.ir;100;93;87;100;83
450;infourok.ru;88;68;84;100;73
451;refresher.sk;49;36;98;100;65
452;caraisins.com;72;-47;97;100;95
453;dle-faq.ru;100;100;74;100;78
454;rustchance.com;100;43;100;100;100
455;cannasos.com;75;77;98;100;80
456;craftivitydesigns.com;100;80;100;100;87
457;hbr-russia.ru;98;64;100;100;79
458;wwfoldschool.com;37;99;87;100;76
459;bigsearch.ir;98;25;99;100;80
460;77betsg.com;67;55;98;100;-88
461;didigames.com;100;100;100;100;100
462;uniswap.com;78;99;100;100;100
463;vietlott.mobi;97;100;100;81;88
464;halmek.co.jp;69;45;-259;100;20
465;leasing.com;61;86;83;100;91
466;rk.edu.pl;100;100;100;100;98
467;reporternewspapers.net;74;96;-91;100;76
468;kkh.se;100;98;100;100;100
469;qingse.one;50;83;100;100;89
470;iatranshumanisme.com;83;55;99;100;73
471;pogoda.co.il;100;93;100;100;95
472;dex-trade.com;11;33;100;100;92
473;wordsinspace.net;100;100;100;100;100
474;coveteur.com;83;94;100;100;91
475;teknobilimadami.com;78;-24;97;100;95
476;meshok.net;93;56;100;100;98
477;iransote.com;69;100;99;100;100
478;ratingruneta.ru;51;100;99;100;100
479;akispetretzikis.com;83;31;100;100;84
480;rojashop.com;70;32;99;100;84
481;animesail.com;100;79;99;100;81
482;armeniasputnik.am;98;58;85;100;63
483;ducdeslombards.com;93;48;99;100;87
484;topesdegama.com;97;53;99;100;97
485;callibri.ru;83;71;82;100;84
486;vsesorta.ru;21;7;35;100;63
487;documented.net;95;-163;84;100;90
488;aiad.com.au;94;100;100;100;66
489;bukalapak.com;79;98;99;100;61
490;wyevalegardencentres.co.uk;78;100;100;100;100
491;tui.pl;70;61;100;100;98
492;powermetercity.com;91;92;94;100;74
493;convertify.mobi;100;83;41;100;100
494;tabiiro.jp;97;66;74;100;64
495;revitonica.ru;83;3;38;100;84
496;aavewatch.com;43;100;100;100;100
497;viddit.red;95;92;63;100;92
498;perfumes24h.com;52;48;98;100;70
499;ravazadeh.com;37;-54;99;100;67
500;wedding.pl;56;94;100;100;96
501;iran24shop.com;91;-45;99;100;64
502;rusmonitor.com;97;71;74;100;75
503;debatepolitics.com;72;49;100;100;98
504;kharidetalaei.com;27;-60;98;100;87
505;iuiga.com;37;27;72;100;-86
506;2traveldads.com;93;87;100;100;92
507;khabar-fouri.com;44;15;99;100;80
508;metro.co.uk;100;70;87;100;84
509;50skyshades.com;100;55;98;100;86
510;extrastech.com;95;86;98;100;100
511;99taghvim.ir;79;60;99;100;83
512;hiphopizados.com;97;15;98;100;83
513;canonicalized.com;98;52;100;100;85
514;deviq.com;100;100;100;100;100
515;royalcode.net;100;41;86;100;85
516;mexc.ru;95;38;99;100;50
517;cloudatcost.com;98;77;100;100;100
518;k9petstore.co.za;83;23;99;100;89
519;rutgerbakt.nl;-243;61;97;100;59
520;mamapagina.com;80;63;100;100;33
521;kharazian.ir;90;98;98;100;100
522;es-mexico.com;78;98;76;100;83
523;ertikaa.com;83;-111;98;100;48
524;thehungrybluebird.com;100;86;100;100;93
525;thehackernews.com;86;100;24;100;72
526;whatoplay.com;60;80;87;100;71
527;fundamenta.cl;88;4;99;100;81
528;bahasaweb.com;100;81;76;100;97
529;dreamvention.com;98;43;98;100;79
530;emlakkulisi.com;94;90;65;100;49
531;hostnoc.com;90;100;88;75;58
532;fluxbuilder.com;95;98;100;100;91
533;relojes-especiales.com;33;43;-13;100;62
534;travelinspiredliving.com;100;88;100;100;88
535;dogpre.com;61;100;88;-333;-50
536;broadsign.com;98;83;99;100;76
537;visualobjects.com;100;99;100;100;99
538;hongkongfp.com;48;95;100;100;93
539;fringeworld.com.au;95;100;96;100;54
540;economyplusme.com;86;24;-8;100;47
541;apressurecooker.com;100;86;88;100;87
542;connery.dk;85;87;98;100;59
543;criscamp.com.br;98;-1;97;100;99
544;ritetag.com;97;100;86;39;72
545;totalnews.com;80;99;100;100;100
546;allinclusivefilm.ru;100;69;88;100;73
547;melonstube.cc;91;100;44;100;80
548;kabarjombang.com;93;61;100;100;68
549;penceretv.com;99;83;72;100;79
550;techvatan.com;91;46;73;100;87
551;bangkokcuisine.com;93;34;99;100;100
552;espaciohogar.com;-31;87;-878;100;-23
553;vasaham.com;97;-47;96;100;96
554;toplearn.com;99;39;40;100;94
555;dasa.com.br;95;98;100;100;100
556;thebermudatriangle.com;70;99;100;100;87
557;chicco.com.ua;56;-1;94;100;82
558;estradaistudio.pl;77;51;-167;100;36
559;yourvpnservice.com;100;90;100;100;93
560;laconicml.com;94;-288;94;100;79
561;7gardun.com;80;26;84;100;92
562;androidzoom.ir;83;50;88;100;100
563;iod.media;89;64;94;100;-39
564;binbaz.org.sa;89;48;99;100;93
565;cenduparam.com;98;85;100;100;96
566;twishort.com;100;85;99;100;94
567;baman24.ir;97;90;100;100;91
568;mvtvn.com;80;99;100;100;89
569;imhd.sk;50;91;76;100;77
570;builtwith.com;100;95;100;100;100
571;eldesmarque.com;45;63;86;100;74
572;traders-union.ru;90;99;85;100;36
573;hunade.com;100;100;88;100;98
574;larryludwig.com;98;67;100;100;91
575;aniwatch.me;100;100;99;100;100
576;aryanaghalam.com;82;100;94;82;29
577;urmart.com;98;99;87;100;80
578;emmacruises.com;100;97;100;100;87
579;henderson.ru;46;44;98;100;17
580;wayunique.com;83;-76;98;100;91
581;hardforum.com;80;43;100;100;100
582;wocial.net;50;-11;96;100;84
583;blackbeltmag.com;94;81;73;100;76
584;rue89bordeaux.com;94;47;98;100;77
585;arch-projects.com;63;51;99;100;100
586;unacademy.com;98;100;99;100;90
587;travelagu.com;100;100;100;100;100
588;ukrafoto.net;100;97;88;100;95
589;wartakepri.co.id;41;-40;59;100;-8
590;polizeiticker.ch;100;90;55;100;64
591;marketrealist.com;100;100;100;100;87
592;eaomedia.ru;92;17;63;100;62
593;packagingeurope.com;85;35;73;100;65
594;quoteddata.com;80;68;99;100;85
595;californiaunpublished.com;100;85;100;100;83
596;kimjonesgroup.com;67;83;99;100;96
597;heavytruckpits.com;75;100;99;100;100
598;peerj.com;83;62;100;100;79
599;d4swing.com;100;100;100;100;100
600;domainadvisors.com;92;15;85;100;100
601;booksandbao.com;97;83;100;100;93
602;youaremom.com;97;99;97;100;77
603;diaryofajournalplanner.com;100;98;100;100;93
604;ilovemychi.com;98;79;88;100;94
605;belpodium.ru;89;96;84;100;87
606;traintimes.org.uk;100;100;100;100;100
607;muathuoctot.com;46;-53;83;100;7
608;penguincbd.com;100;92;97;100;58
609;inkbox.com;52;75;84;100;63
610;times24h.com;78;100;85;100;83
611;techbeasts.com;99;-10;73;100;85
612;acikkuran.com;100;100;100;100;100
613;unclinic.ru;80;-63;88;100;73
614;ketosizeme.com;98;76;100;100;100
615;popimusic.ir;100;86;88;100;96
616;996.icu;100;99;100;100;100
617;tamworthwindowtinting.com.au;83;100;100;100;96
618;hans-zimmer.com;29;-106;95;100;96
619;eplsite.football;18;52;61;100;66
620;ibud.ua;85;99;73;100;34
621;meble-drewniane.com.pl;66;25;99;100;86
622;vizita.si;87;79;75;100;67
623;ielts.com.au;85;14;97;100;77
624;hardhatengineer.com;93;88;100;100;100
625;wakacje.pl;92;100;99;100;91
626;mmo4me.com;42;44;88;100;77
627;amillionstyles.com;77;-2;59;100;76
628;bobobox.co.id;100;93;87;100;60
629;mein-mmo.de;51;1;97;100;79
630;alphaconverge.com;78;99;99;100;93
631;brucelawson.co.uk;100;96;88;100;5
632;varus.ua;92;28;88;100;75
633;wadic.net;90;100;85;71;4
634;adsenseturkiye.com.tr;39;33;73;100;68
635;ezp30.com;100;97;100;100;100
636;lingohub.com;81;95;100;100;83
637;chi-chiamato.com;89;84;73;100;97
638;bid4papers.com;98;100;88;100;87
639;ijebuloaded.com;88;28;61;100;74
640;hhcontracthaulers.com;78;100;100;100;100
641;pvpru.com;-62;47;100;100;98
642;motopoland.com.ua;74;94;100;100;35
643;unite2020pandemic.com;85;100;100;100;91
644;hclips.com;98;74;88;100;77
645;dailycricket.com.bd;85;51;60;100;69
646;ponyfoo.com;84;75;100;100;63
647;uberporno.com;100;26;99;100;84
648;beroozresaan.com;77;88;100;100;88
649;teliumnetwork.se;100;99;100;100;87
650;autogidas.lt;-171;77;98;100;67
651;techdracula.com;98;94;63;100;91
652;mnya.tw;52;64;-4607;100;42
653;tamasnews.ir;39;-98;98;100;98
654;laravelpackage.com;100;98;100;100;100
655;alkatreszek.hu;100;54;100;100;98
656;bidopin.com;33;-40;95;100;78
657;tripswithtykes.com;98;78;100;100;91
658;careersportal.ie;7;27;85;100;93
659;foreign-brides.net;96;90;97;100;93
660;f.ua;48;75;86;100;33
661;chickenscratchny.com;98;98;100;100;53
662;100datingsite.com;98;96;100;100;95
663;viljamis.com;100;96;100;100;100
664;hatarakujob.com;100;99;100;100;96
665;teamos-hkrg.com;65;100;100;100;83
666;brtnetwork.id;92;-36;85;100;84
667;englishninjas.com;100;100;89;94;97
668;pharmajobadda.com;83;24;61;100;75
669;bludshop.com;93;56;94;100;65
670;espanafascinante.com;77;2;87;100;96
671;alanat.net;41;34;72;100;58
672;pasokhbama.com;83;39;100;100;87
673;afradata.net;47;-86;98;100;83
674;bbb.fm;92;100;100;100;100
675;dcmais.com.br;83;7;95;100;78
676;whitewall.art;100;100;89;-69;88
677;elixirschool.com;100;99;100;100;100
