,website,domComplexity,cssComplexity,badJavascript,pageWeight,requests
768,askaboutmoney.com,77,49,100,100,100
769,dublinlive.ie,98,75,98,100,79
770,casalgrandepadana.com,78,38,98,100,100
773,azeta.lv,-14,-13,98,100,37
777,kamiennewnetrza.pl,100,44,-102,100,69
778,eataly.net,97,55,100,100,80
781,omniaretail.com,98,91,99,100,79
785,moro.com,97,74,100,100,91
791,zillow.com,93,97,87,100,79
792,reliancedigital.in,83,95,100,100,99
793,fairtradeamerica.org,98,92,99,100,98
794,fiduciaire-topsana.ch,90,2,85,100,98
795,mail-order-bride.com,47,82,97,100,97
803,gendo.app,100,91,88,100,99
804,sussexlive.co.uk,91,86,63,100,79
806,nazdone.com,98,90,100,100,80
807,netguide.com,-8,92,94,100,100
811,kassel.de,88,92,100,100,89
816,melhorcomsaude.com.br,97,91,97,100,69
822,tennisworlditalia.com,100,100,100,100,97
823,localprofile.com,83,97,64,100,91
826,niveshmarket.com,89,31,-16,100,60
830,popwebdesign.net,100,62,98,100,100
834,biareview.com,100,87,100,100,100
837,from-ua.com,75,88,64,100,96
842,startpagina.nl,51,96,99,100,96
844,darkside.ru,55,98,60,100,60
846,insidejapantours.com,14,99,94,100,63
847,tv-programme.com,77,67,100,100,59
850,candidegardening.com,100,100,99,100,66
855,finchoice.mobi,98,100,100,100,93
856,pykin.in,100,14,99,100,96
860,minecrafttr.com,20,6,86,100,70
862,reklam.com.tr,95,57,100,100,95
863,uenp.edu.br,97,18,100,100,85
864,nac.nl,95,22,99,100,87
865,remnote.io,100,98,98,100,87
868,gamingbible.co.uk,84,-17,81,100,64
869,louisphilippe.com,100,38,-82,100,81
872,genmirror.com,75,67,60,100,74
873,birhayalinpesinde.com,97,89,99,100,87
874,sabado.pt,74,38,94,100,65
875,mcebiscoo.com,73,12,61,100,63
877,booksy.com,90,99,99,100,80
878,b4bschwaben.de,72,87,83,100,87
879,minecraft.jp,100,68,100,100,100
881,star99.com,100,4,88,100,98
882,kalender.digital,93,55,99,100,100
883,visit.alsace,100,19,97,100,80
884,tazenews.com,87,-92,99,100,98
887,animixplay.to,100,87,97,100,87
890,centralfloridaweddinggroup.com,80,100,100,100,100
892,bakti.id,82,97,100,100,88
895,dcmedical.ro,95,95,87,100,39
898,hapi.dev,98,75,100,100,88
901,zinio.com,97,97,100,100,81
903,confaelshop.ru,40,46,74,100,43
905,21ninety.com,92,90,87,100,67
907,slotsmagic.com,97,94,98,100,96
908,tennisworldusa.org,100,100,100,100,94
909,etuovi.com,88,91,100,100,70
914,findauction.in,100,79,100,100,100
916,apptuts.net,83,37,74,100,90
917,bzns.media,96,91,87,100,88
919,marketsverge.com,82,100,100,100,100
920,revistapuntodevista.com.mx,69,7,99,100,86
922,511mn.org,100,99,100,100,99
923,techjaja.com,47,-52,59,100,74
924,ebike-generation.com,78,99,98,100,93
925,zankyou.es,86,67,100,100,98
926,mortgagecalculatorwithpmi.com,99,70,63,100,85
928,diaryofatorontogirl.com,98,84,100,100,84
929,thepostemail.com,77,95,100,100,87
930,dispatchlive.co.za,68,28,-30,100,78
932,pscp.download,85,61,73,100,89
933,eurojackpot.org,100,95,100,100,100
934,filmlondon.org.uk,92,100,89,88,98
940,rockwellautomation.com,92,52,99,100,79
942,kadivar.com,57,-48,86,100,88
945,krasnoyarskmedia.ru,87,17,63,100,68
946,lalingerie.co.kr,41,84,96,100,64
948,prothomalo.com,98,87,52,100,78
951,hipertextual.com,73,95,76,100,79
952,ngdevelop.tech,100,4,74,100,84
955,elmah.io,98,49,100,100,84
956,hotsheet.com,70,100,100,99,4
959,estrid.com,91,37,99,100,79
960,everydayeyecandy.com,98,78,100,100,94
962,m18.com,100,78,97,100,89
964,bytuong.com,88,59,63,100,77
965,boersennews.de,93,52,97,100,86
966,ethio3f.com,97,99,100,100,99
967,telegramm.site,100,50,94,100,100
973,bananamoon.com,68,7,100,100,87
974,500cosmetics.com,51,100,82,100,67
977,christianmedias.com,92,13,100,100,100
978,expii.com,98,89,100,100,86
982,badenertagblatt.ch,92,99,75,100,80
983,poponik.com,30,24,98,100,57
984,appfolio.com,98,49,98,100,78
987,wonder.com.co,100,100,100,100,100
988,bestasianbrides.com,100,82,100,100,83
991,elfnon.com,97,61,76,100,100
995,hulizb.net,100,87,100,100,73
996,curvefever.pro,81,51,98,100,93
1000,bitcoin.com,92,99,41,100,97
1001,tabloidxo.com,97,90,63,100,67
1005,engie.nl,80,42,100,100,87
1006,lansi-uusimaa.fi,92,99,98,100,67
1007,dokidoki.finance,98,1,100,100,100
1015,pricewise.nl,97,89,97,100,100
1016,claralionelfoundation.org,83,-13,99,100,85
1023,lindseystreet.net,83,100,44,-1467,76
1024,boxingnewsandviews.com,81,57,99,100,85
1025,dailyfilm.ir,100,100,99,100,97
1027,paranormalx.com,88,83,100,100,100
1028,worldoftrucks.com,100,95,100,100,87
1031,happysocks.com,85,87,100,100,77
1032,amurmedia.ru,90,17,63,100,61
1033,kinohod.ru,73,68,100,100,83
1035,inmak.net,97,93,100,100,58
1036,metricon.com.au,100,94,100,100,80
1038,bullocksbuzz.com,98,84,100,100,91
1039,katacontainers.io,97,99,100,100,94
1043,autoscout24.de,96,84,96,100,94
1044,larvf.com,98,89,97,100,76
1047,thebrooklynmarketplace.com,79,55,86,100,53
1049,ohhtee.com,100,38,100,100,87
1050,phew.tw,95,14,99,100,61
1052,conversor-dolar.com.br,88,96,99,100,88
1054,morrissey-solo.com,43,4,71,100,70
1055,mobilmo.com,94,90,63,100,71
1056,coinlore.com,22,70,62,100,89
1057,teplokarta.ru,95,19,86,100,73
1059,my-ahangha.ir,100,90,100,100,100
1060,master-chinese.ru,93,27,98,100,75
1062,ledpremium.ru,-105,-5,83,100,73
1063,homedecoratione.com,96,93,75,100,93
1065,norinesnest.com,98,77,100,100,95
1067,bet-at-home.de,50,100,94,100,100
1068,hinge.co,98,94,100,100,98
1071,energynews.us,77,96,100,100,94
1073,visugpx.com,98,97,73,100,80
1074,colombo.com.br,45,59,99,100,64
1075,pornohammer.com,85,100,98,100,87
1080,flightio.com,90,-16,100,100,94
1081,oakpark.com,83,96,88,100,88
1083,chetor.com,88,-106,98,100,88
1084,elazigonline.com,95,60,98,100,79
1085,theinitium.com,100,100,100,100,100
1090,datingpeak.org,97,59,99,100,89
1096,drillster.com,32,65,97,100,76
1100,vkfaces.com,98,93,99,100,75
1101,check4d.com,93,76,-141,100,71
1102,abomus.co.il,100,99,100,100,93
1104,fanmusicfest.com,43,41,3,100,58
1105,irembo.gov.rw,90,84,97,100,100
1107,damacproperties.com,95,40,87,100,86
1111,findforeignbride.com,88,88,97,100,83
1112,karamansondakka.com,92,100,99,100,91
1113,filmweb.pl,49,95,95,100,91
1114,powerhungry.com,93,82,76,100,83
1115,automobile-propre.com,49,54,86,100,73
1122,texaspoabar.org,90,100,100,100,100
1123,kazashki.com,100,100,88,100,99
1124,techjunkie.com,100,39,100,100,77
1125,plugnpay.com,85,98,97,100,100
1127,rosegal.com,73,87,84,100,67
1129,evropa2.cz,79,100,85,47,63
1132,markethub.gr,100,12,99,100,87
1133,yoast.com,98,77,99,100,90
1134,pornohirsch.net,82,99,98,100,91
1135,coca-cola.com.br,100,74,99,100,100
1137,infocar.ua,100,95,73,100,76
1139,rutadirecta.com,97,-40,48,100,76
1140,leekduck.com,100,92,99,100,100
1141,thothub.live,100,14,85,100,75
1142,kt-life.net,94,53,98,100,71
1143,leciss.org,100,92,88,100,100
1144,wellplated.com,57,66,99,100,98
1145,insidethestar.com,95,14,86,100,72
1148,serversupportforum.de,-14,47,87,100,87
1149,ht-exchange.com,100,93,88,100,100
1150,c-and-a.com,97,19,99,100,99
1151,poryadok.ru,97,74,99,100,84
1152,wikirock.net,67,86,59,100,41
1158,rosewife.com,100,68,100,100,99
1159,mintishop.pl,36,-28,94,100,32
1164,taxbit.com,98,64,88,100,73
1165,buybettersocial.com,100,44,88,100,99
1167,astromix.net,95,51,86,100,70
1169,lawspot.gr,97,80,100,100,96
1173,vsim.ua,39,5,98,100,68
1174,vivawallet.com,100,94,100,100,94
1175,decortips.com,95,100,97,100,77
1177,radiotavisupleba.ge,88,39,97,100,78
1179,hookupguru.com,92,70,88,100,85
1181,muteyaar.com,86,-127,94,100,73
1184,komfort.pl,-76,32,87,100,76
1185,illlustrations.co,97,98,88,100,-13
1187,kuula.co,98,47,99,100,86
1188,eluniversal.com.mx,-41,27,94,100,-63
1190,pro-medienmagazin.de,61,16,87,100,99
1193,programadorfreelance.com.ar,92,82,99,100,96
1196,kuttipencil.in,100,83,94,100,98
1197,entekhab.ir,47,43,87,100,47
1198,cgi.com,88,84,99,100,73
1199,rentsher.com,97,100,100,96,73
1200,logaster.com.es,100,82,99,100,99
1201,techjourney.net,94,-25,61,100,79
1203,retipster.com,-315,98,100,100,95
1205,cytron.io,41,98,86,100,75
1206,tuliptime.com,100,97,100,100,87
1207,medjournalusa.com,98,100,100,100,100
1208,theredheadbaker.com,100,82,100,100,81
1209,lagendarmerierecrute.fr,93,56,100,100,92
1213,indiacircus.com,73,15,98,100,49
1214,telebasel.ch,61,77,75,100,65
1216,banglaconverter.co,94,94,61,100,94
1218,saveur-biere.com,100,100,100,100,85
1220,minimins.com,76,49,99,100,85
1221,awwrated.com,89,-22,96,100,77
1225,aty800.com,100,80,100,100,100
1226,pasionfutbol.com,89,98,100,100,98
1227,sparwelt.de,95,98,100,100,96
1231,sparklestosprinkles.com,92,78,100,100,87
1235,deshdoot.com,89,72,-138,100,22
1237,mlk50.com,61,96,100,100,93
1240,skinceuticals.com,66,100,86,100,60
1243,greatbritishchefs.com,-63,90,96,100,66
1244,ebookjapan.jp,100,100,100,100,100
1245,onchainfx.com,100,100,98,100,80
1247,eyesitela.com,70,99,99,100,94
1250,harperstephenson.co.uk,67,100,22,97,100
1252,kapwing.com,100,21,99,100,78
1254,itechua.com,91,-28,72,100,90
1256,kimlulashnyk.com,97,100,100,100,100
1257,fachowisko.pl,69,-8,99,100,100
1258,xemlicham.com,93,86,72,100,78
1260,gon.com,100,32,86,100,61
1261,trilife.ru,98,-3,82,100,71
1263,oltnertagblatt.ch,94,99,75,100,80
1266,offshore-companies.co.uk,100,97,100,100,100
1268,estadios24.pl,90,82,86,100,4
1269,grandelakes.com,97,93,72,100,76
1270,vci.international,98,99,100,100,89
1271,shopmoment.com,44,88,99,100,80
1273,marketi.com.br,97,-43,96,100,97
1276,posciel.to,95,43,99,100,84
1277,vimeo-downloader.com,100,92,99,100,100
1278,techkings.org,48,44,98,100,84
1279,modiresabz.com,92,-113,97,100,72
1280,wowlazymacros.com,71,22,99,100,83
1282,nnc.mx,46,23,94,100,60
1283,mjam.net,97,55,100,100,75
1285,carolinakidcoders.com,70,99,99,100,99
1286,frisbi24.ru,93,92,99,100,99
1288,agahitime.com,56,50,88,100,-27
1290,stuff.co.nz,31,93,83,100,59
1292,chatvdvoem.ru,75,70,93,100,69
1294,restauracionnews.com,83,-150,-290,100,58
1295,mgid.com,97,85,96,100,73
1298,corrosionpedia.com,87,100,43,70,69
1299,neigbuy.com,98,100,100,100,79
1302,espaciocoches.com,-20,94,-1000,100,-21
1304,allbud.com,97,100,99,100,96
